bank,rate,date
VIB,26843.0,2024-10-16
VIB,26835.0,2024-10-18
VIB,26835.0,2024-10-19
VIB,26835.0,2024-10-20
VIB,27071.0,2024-10-21
VIB,27116.0,2024-10-22
VIB,27075.0,2024-10-23
VIB,27054.0,2024-10-24
VIB,27015.0,2024-10-25
VIB,27015.0,2024-10-26
VIB,27048.0,2024-10-28
VIB,27039.0,2024-10-29
VIB,27030.0,2024-10-30
VIB,27104.0,2024-10-31
VIB,27177.0,2024-11-01
VIB,27002.0,2024-11-02
VIB,27002.0,2024-11-03
VIB,27177.0,2024-11-04
VIB,27180.0,2024-11-05
VIB,26863.0,2024-11-06
VIB,26861.0,2024-11-07
VIB,26923.0,2024-11-08
VIB,26812.0,2024-11-09
VIB,26812.0,2024-11-10
VIB,26762.0,2024-11-11
VIB,26649.0,2024-11-12
VIB,26590.0,2024-11-13
VIB,26419.0,2024-11-14
VIB,26417.0,2024-11-15
VIB,26410.0,2024-11-16
VIB,26410.0,2024-11-17
VIB,26436.0,2024-11-18
VIB,26579.0,2024-11-19
VIB,26572.0,2024-11-20
VIB,26481.0,2024-11-21
VIB,25966.0,2024-11-22
VIB,25966.0,2024-11-23
VIB,25966.0,2024-11-24
VIB,26288.0,2024-11-25
VIB,26234.0,2024-11-26
VIB,26323.0,2024-11-27
VIB,26397.0,2024-11-28
VIB,26354.0,2024-11-29
VIB,26354.0,2024-11-30
VIB,26354.0,2024-12-01
VIB,26354.0,2024-12-02
VIB,26311.0,2024-12-03
VIB,26325.0,2024-12-04
VIB,26371.0,2024-12-05
VIB,26417.0,2024-12-06
VIB,26417.0,2024-12-07
VIB,26417.0,2024-12-08
VIB,26466.0,2024-12-09
VIB,26467.0,2024-12-10
VIB,26309.0,2024-12-11
VIB,26346.0,2024-12-12
VIB,26158.0,2024-12-13
VIB,26158.0,2024-12-14
VIB,26158.0,2024-12-15
VIB,26381.0,2024-12-16
VIB,26386.0,2024-12-17
VIB,26328.0,2024-12-18
VIB,26089.0,2024-12-19
VIB,25976.0,2024-12-20
VIB,25976.0,2024-12-21
VIB,25976.0,2024-12-22
VIB,26205.0,2024-12-23
VIB,26137.0,2024-12-24
VIB,26119.0,2024-12-25
VIB,26097.0,2024-12-26
VIB,26064.0,2024-12-27
VIB,26064.0,2024-12-28
VIB,26064.0,2024-12-29
VIB,26199.0,2024-12-30
VIB,26199.0,2024-12-31
VIB,26199.0,2025-01-01
VIB,26038.0,2025-01-02
VIB,25670.0,2025-01-03
VIB,25670.0,2025-01-04
VIB,25670.0,2025-01-05
VIB,25814.0,2025-01-06
VIB,25965.0,2025-01-07
VCB,26750.01,2024-10-16
VCB,26847.94,2024-10-18
VCB,26847.94,2024-10-19
VCB,26847.94,2024-10-20
VCB,26963.93,2024-10-21
VCB,27029.75,2024-10-22
